Wall time,Step,Value
1744536424.6378424,0,0.16276313364505768
1744536426.5520322,1,0.00043580037890933454
1744536428.609521,2,0.08990482240915298
1744536430.6857846,3,0.2033006250858307
1744536432.5933268,4,0.24283362925052643
1744536434.0017834,5,0.2797433137893677
1744536435.40311,6,0.2969505488872528
1744536436.8510952,7,0.30749157071113586
1744536438.2415624,8,0.31960979104042053
1744536439.6976337,9,0.34195032715797424
1744536441.0972183,10,0.35606035590171814
1744536442.508786,11,0.3606243133544922
1744536443.9216452,12,0.3828488290309906
1744536445.3088834,13,0.39306190609931946
1744536446.752672,14,0.38392072916030884
1744536448.166974,15,0.4059840738773346
1744536449.596234,16,0.40509679913520813
1744536451.0029092,17,0.4147942066192627
1744536452.445868,18,0.41314780712127686
1744536453.9088368,19,0.43175914883613586
